sample_id,label,attn_layer_0,mlp_layer_0,attn_layer_1,mlp_layer_1,attn_layer_2,mlp_layer_2,attn_layer_3,mlp_layer_3,attn_layer_4,mlp_layer_4,attn_layer_5,mlp_layer_5,attn_layer_6,mlp_layer_6,attn_layer_7,mlp_layer_7,attn_layer_8,mlp_layer_8,attn_layer_9,mlp_layer_9,attn_layer_10,mlp_layer_10,attn_layer_11,mlp_layer_11,attn_layer_12,mlp_layer_12,attn_layer_13,mlp_layer_13,attn_layer_14,mlp_layer_14,attn_layer_15,mlp_layer_15,attn_layer_16,mlp_layer_16,attn_layer_17,mlp_layer_17,attn_layer_18,mlp_layer_18,attn_layer_19,mlp_layer_19,attn_layer_20,mlp_layer_20,attn_layer_21,mlp_layer_21,attn_layer_22,mlp_layer_22,attn_layer_23,mlp_layer_23,group,attention_drift,ffn_drift
ragtruth_10113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1819405754407247,0.5660374214251837
ragtruth_10113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.31046193093061447,0.5726825321714083
ragtruth_10113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.11539737383524577,0.3394938011964162
ragtruth_10114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.3417725662390391,0.6411715646584829
ragtruth_10114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.5038638928284248,0.693008533368508
ragtruth_10114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.16204879681269327,0.3556864410638809
ragtruth_10130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.30765482783317566,0.6367632548014323
ragtruth_10130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.4631112602849801,0.6761547339459261
ragtruth_10130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.15953328212102255,0.35980365176995593
ragtruth_10131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.179584801197052,0.5693669269482294
ragtruth_10131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3083956440289815,0.5761073802908262
ragtruth_10131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1268920600414276,0.3581069161494573
ragtruth_10132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.17525004347165427,0.5579237764080366
ragtruth_10132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.2965843553344409,0.5620267416040102
ragtruth_10132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.12118070324261983,0.3423822621504466
ragtruth_10133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.2320853372414907,0.5910744269688925
ragtruth_10133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3833371972044309,0.6268785881499449
ragtruth_10133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.12163614233334859,0.34335018197695416
ragtruth_10164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.11881336569786072,0.46516233682632446
ragtruth_10164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.17523079613844553,0.4049835627277692
ragtruth_10164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.0752078394095103,0.17173915108044943
ragtruth_10166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.35138491292794544,0.6720991420249144
ragtruth_10166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.5205344396332899,0.7234081402420998
ragtruth_10166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1882424751917521,0.3656923870245616
ragtruth_10168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.2794412871201833,0.6564521044492722
ragtruth_10168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.43361204241712886,0.6657094967861971
ragtruth_10168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1638313134511312,0.3561268150806427
ragtruth_10169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.13511181871096292,0.5037907858689626
ragtruth_10169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.20853504041830698,0.4507294073700905
ragtruth_10169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.10121042529741923,0.2312571903069814
ragtruth_10184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.19383743405342102,0.5057094544172287
ragtruth_10184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.34507474054892856,0.5944045471648375
ragtruth_10184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.09542869528134663,0.2279381056626638
ragtruth_10185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.14660670359929404,0.4403042842944463
ragtruth_10185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.282553310195605,0.49420077974597615
ragtruth_10185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08884646495183308,0.20638741056124368
